Banner,Region,Store ID
Walmart,Northern California,66999
Trader Joes,Northern California,4698
Safeway,Northern California,39482
Whole Foods,Northern California,34957
Walmart,New York,12837
Trader Joes,New York,9487
Wegmans,New York,2938
Whole Foods,New York,50948
Walmart,Kansas,40593
Trader Joes,Kansas,29384
Wegmans,Kansas,3948
Safeway,Kansas,39485
Whole Foods,Kansas,39287
Walmart,Texas,50495
Trader Joes,Texas,40586
Wegmans,Texas,98638
Safeway,Texas,29382
Whole Foods,Texas,98736
Kroger,Northern California,6746
Kroger,New York,77955
Kroger,Texas,66356
Kroger,Kansas,99997
Walmart,Hawaii,29342
Trader Joes,Hawaii,11123
Wegmans,Hawaii,39284
Safeway,Hawaii,40582
Whole Foods,Hawaii,59582
Kroger,Hawaii,50692
